country,shocked_region,shock_severity,impact_level
Marshall Islands,CPA,Low,Medium Impact
Madagascar,CPA,Low,Medium Impact
Bahrain,CPA,Low,Low Impact
Malawi,CPA,Low,Low Impact
Malaysia,CPA,Low,Low Impact
Maldives,CPA,Low,Medium Impact
Mali,CPA,Low,Low Impact
Malta,CPA,Low,Low Impact
Mauritania,CPA,Low,Low Impact
Mauritius,CPA,Low,Low Impact
Mexico,CPA,Low,Low Impact
Barbados,CPA,Low,Medium Impact
Mongolia,CPA,Low,Medium Impact
Montserrat,CPA,Low,Medium Impact
Morocco,CPA,Low,Low Impact
Mozambique,CPA,Low,Low Impact
Micronesia (Federated States of),CPA,Low,Medium Impact
Republic of Moldova,CPA,Low,Low Impact
Namibia,CPA,Low,Low Impact
Nauru,CPA,Low,Medium Impact
Nepal,CPA,Low,Medium Impact
Netherlands,CPA,Low,Low Impact
,CPA,Low,Medium Impact
New Caledonia,CPA,Low,Medium Impact
The former Yugoslav Republic of Macedonia,CPA,Low,Medium Impact
Vanuatu,CPA,Low,Medium Impact
New Zealand,CPA,Low,Low Impact
Nicaragua,CPA,Low,Low Impact
Niger,CPA,Low,Low Impact
Nigeria,CPA,Low,Low Impact
Bangladesh,CPA,Low,Low Impact
Niue,CPA,Low,Medium Impact
Norfolk Island,CPA,Low,Medium Impact
Norway,CPA,Low,Low Impact
Northern Mariana Islands,CPA,Low,Medium Impact
Pacific Islands Trust Territory,CPA,Low,Medium Impact
Pakistan,CPA,Low,Low Impact
Panama,CPA,Low,Low Impact
Czech Republic,CPA,Low,Low Impact
Czechoslovakia,CPA,Low,Low Impact
Papua New Guinea,CPA,Low,Low Impact
Paraguay,CPA,Low,Low Impact
Bermuda,CPA,Low,Medium Impact
Peru,CPA,Low,Low Impact
Philippines,CPA,Low,Low Impact
Poland,CPA,Low,Low Impact
Portugal,CPA,Low,Low Impact
Guinea-Bissau,CPA,Low,Medium Impact
Timor-Leste,CPA,Low,Medium Impact
Eritrea,CPA,Low,Low Impact
Qatar,CPA,Low,Medium Impact
Bhutan,CPA,Low,Medium Impact
Palau,CPA,Low,Medium Impact
Zimbabwe,CPA,Low,Low Impact
Romania,CPA,Low,Low Impact
Rwanda,CPA,Low,Low Impact
Russian Federation,CPA,Low,Low Impact
USSR,CPA,Low,Low Impact
Saint Helena,CPA,Low,Medium Impact
Saint Kitts and Nevis,CPA,Low,Medium Impact
Saint Lucia,CPA,Low,Medium Impact
Bolivia (Plurinational State of),CPA,Low,Low Impact
Saint Pierre and Miquelon,CPA,Low,Medium Impact
Saint Vincent and the Grenadines,CPA,Low,Medium Impact
Sao Tome and Principe,CPA,Low,Medium Impact
Saudi Arabia,CPA,Low,Low Impact
Senegal,CPA,Low,Low Impact
Seychelles,CPA,Low,Medium Impact
Sierra Leone,CPA,Low,Medium Impact
Slovenia,CPA,Low,Low Impact
Slovakia,CPA,Low,Low Impact
Yugoslav SFR,CPA,Low,Low Impact
Afghanistan,CPA,Low,Low Impact
Botswana,CPA,Low,Medium Impact
Singapore,CPA,Low,Low Impact
Somalia,CPA,Low,Medium Impact
South Africa,CPA,Low,Low Impact
Spain,CPA,Low,Low Impact
Western Sahara,CPA,Low,Medium Impact
Suriname,CPA,Low,Medium Impact
Tajikistan,CPA,Low,Low Impact
Swaziland,CPA,Low,Medium Impact
Brazil,CPA,Low,Low Impact
Sweden,CPA,Low,Low Impact
Switzerland,CPA,Low,Low Impact
Syrian Arab Republic,CPA,Low,Low Impact
Turkmenistan,CPA,Low,No Impact
United Republic of Tanzania,CPA,Low,Low Impact
Thailand,CPA,Low,Low Impact
Togo,CPA,Low,Low Impact
Tonga,CPA,Low,Medium Impact
Aruba,CPA,Low,Medium Impact
Trinidad and Tobago,CPA,Low,Low Impact
Oman,CPA,Low,Low Impact
Tunisia,CPA,Low,Low Impact
Turkey,CPA,Low,Low Impact
,CPA,Low,Medium Impact
United Arab Emirates,CPA,Low,Low Impact
Uganda,CPA,Low,Low Impact
Tuvalu,CPA,Low,Medium Impact
United Kingdom,CPA,Low,Low Impact
Belize,CPA,Low,Medium Impact
Ukraine,CPA,Low,Low Impact
United States of America,CPA,Low,Low Impact
Burkina Faso,CPA,Low,Low Impact
Uruguay,CPA,Low,Low Impact
Uzbekistan,CPA,Low,Low Impact
Venezuela (Bolivarian Republic of),CPA,Low,Low Impact
Viet Nam,CPA,Low,Low Impact
Ethiopia,CPA,Low,Low Impact
Ethiopia PDR,CPA,Low,Low Impact
British Virgin Islands,CPA,Low,Medium Impact
Wallis and Futuna Islands,CPA,Low,Medium Impact
Samoa,CPA,Low,Medium Impact
Yemen,CPA,Low,Low Impact
Yemen Ar Rp,CPA,Low,Low Impact
Yemen Dem,CPA,Low,Low Impact
Solomon Islands,CPA,Low,Medium Impact
Democratic Republic of the Congo,CPA,Low,Low Impact
Zambia,CPA,Low,Low Impact
,CPA,Low,Medium Impact
Belgium,CPA,Low,Low Impact
Belgium-Luxembourg,CPA,Low,Low Impact
Luxembourg,CPA,Low,No Impact
Anguilla,CPA,Low,Medium Impact
Brunei Darussalam,CPA,Low,Medium Impact
Bulgaria,CPA,Low,Low Impact
Mayotte,CPA,Low,Medium Impact
Serbia,CPA,Low,Low Impact
Serbia and Montenegro,CPA,Low,Low Impact
Montenegro,CPA,Low,Medium Impact
Sudan,CPA,Low,Low Impact
South Sudan,CPA,Low,Medium Impact
Myanmar,CPA,Low,Low Impact
Burundi,CPA,Low,Medium Impact
,CPA,Low,Medium Impact
Albania,CPA,Low,Low Impact
Antarctica,CPA,Low,Medium Impact
Cameroon,CPA,Low,Low Impact
Canada,CPA,Low,Low Impact
Cape Verde,CPA,Low,Medium Impact
China,CPA,Low,Low Impact
Cayman Islands,CPA,Low,Medium Impact
Central African Republic,CPA,Low,Medium Impact
Sri Lanka,CPA,Low,Low Impact
Chad,CPA,Low,Medium Impact
Algeria,CPA,Low,Low Impact
Chile,CPA,Low,Low Impact
Christmas Island,CPA,Low,Medium Impact
Colombia,CPA,Low,Low Impact
Comoros,CPA,Low,Medium Impact
Congo,CPA,Low,Low Impact
Cook Islands,CPA,Low,Medium Impact
Costa Rica,CPA,Low,Low Impact
Cuba,CPA,Low,Medium Impact
American Samoa,CPA,Low,Medium Impact
Cyprus,CPA,Low,Low Impact
Azerbaijan,CPA,Low,Low Impact
Benin,CPA,Low,Medium Impact
Denmark,CPA,Low,Low Impact
Dominica,CPA,Low,Medium Impact
Dominican Republic,CPA,Low,Low Impact
Belarus,CPA,Low,Low Impact
Ecuador,CPA,Low,Low Impact
Egypt,CPA,Low,Low Impact
Andorra,CPA,Low,Medium Impact
El Salvador,CPA,Low,Low Impact
Equatorial Guinea,CPA,Low,Medium Impact
Estonia,CPA,Low,Low Impact
Faroe Islands,CPA,Low,Medium Impact
Falkland Islands (Malvinas),CPA,Low,Medium Impact
Fiji,CPA,Low,Low Impact
Finland,CPA,Low,Low Impact
France,CPA,Low,Low Impact
Angola,CPA,Low,Low Impact
French Polynesia,CPA,Low,Medium Impact
Djibouti,CPA,Low,Medium Impact
Georgia,CPA,Low,Low Impact
Gabon,CPA,Low,Medium Impact
Gambia,CPA,Low,Medium Impact
Germany,CPA,Low,Low Impact
Germany Fr,CPA,Low,Low Impact
Germany Nl,CPA,Low,Low Impact
Antigua and Barbuda,CPA,Low,Medium Impact
Bosnia and Herzegovina,CPA,Low,Low Impact
Ghana,CPA,Low,Low Impact
Gibraltar,CPA,Low,Medium Impact
Kiribati,CPA,Low,Medium Impact
Greece,CPA,Low,Low Impact
Greenland,CPA,Low,Medium Impact
Grenada,CPA,Low,Medium Impact
Guam,CPA,Low,Medium Impact
Guatemala,CPA,Low,Low Impact
Argentina,CPA,Low,Low Impact
Guinea,CPA,Low,Low Impact
Guyana,CPA,Low,Low Impact
Haiti,CPA,Low,Medium Impact
Holy See,CPA,Low,No Impact
Honduras,CPA,Low,Low Impact
Hungary,CPA,Low,Low Impact
Croatia,CPA,Low,Low Impact
Iceland,CPA,Low,Medium Impact
Armenia,NAF,Mid,Low Impact
Australia,NAF,Mid,Low Impact
India,NAF,Mid,Low Impact
Indonesia,NAF,Mid,Low Impact
Iran (Islamic Republic of),NAF,Mid,No Impact
Iraq,NAF,Mid,Low Impact
Ireland,NAF,Mid,Low Impact
Israel,NAF,Mid,No Impact
Italy,NAF,Mid,Low Impact
Cote d'Ivoire,NAF,Mid,Low Impact
Kazakhstan,NAF,Mid,Low Impact
Jamaica,NAF,Mid,Medium Impact
Austria,NAF,Mid,Low Impact
Japan,NAF,Mid,Low Impact
Jordan,NAF,Mid,Low Impact
Kyrgyzstan,NAF,Mid,Low Impact
Kenya,NAF,Mid,Low Impact
Cambodia,NAF,Mid,Medium Impact
Democratic People's Republic of Korea,NAF,Mid,Medium Impact
Republic of Korea,NAF,Mid,Low Impact
Kuwait,NAF,Mid,Medium Impact
Latvia,NAF,Mid,Low Impact
Bahamas,NAF,Mid,Medium Impact
Lao People's Democratic Republic,NAF,Mid,Medium Impact
Lebanon,NAF,Mid,Low Impact
Lesotho,NAF,Mid,Medium Impact
Liberia,NAF,Mid,Medium Impact
Libya,NAF,Mid,Low Impact
Lithuania,NAF,Mid,Low Impact
Marshall Islands,NAF,Mid,Medium Impact
Madagascar,NAF,Mid,Medium Impact
Bahrain,NAF,Mid,Low Impact
Malawi,NAF,Mid,Low Impact
Malaysia,NAF,Mid,Low Impact
Maldives,NAF,Mid,Medium Impact
Mali,NAF,Mid,Low Impact
Malta,NAF,Mid,Low Impact
Mauritania,NAF,Mid,Low Impact
Mauritius,NAF,Mid,Low Impact
Mexico,NAF,Mid,Serious Impact
Barbados,NAF,Mid,Medium Impact
Mongolia,NAF,Mid,Medium Impact
Montserrat,NAF,Mid,Medium Impact
Morocco,NAF,Mid,Low Impact
Mozambique,NAF,Mid,No Impact
Micronesia (Federated States of),NAF,Mid,Medium Impact
Republic of Moldova,NAF,Mid,Low Impact
Namibia,NAF,Mid,Low Impact
Nauru,NAF,Mid,Medium Impact
Nepal,NAF,Mid,Medium Impact
Netherlands,NAF,Mid,Low Impact
,NAF,Mid,Medium Impact
New Caledonia,NAF,Mid,Medium Impact
The former Yugoslav Republic of Macedonia,NAF,Mid,Medium Impact
Vanuatu,NAF,Mid,Medium Impact
New Zealand,NAF,Mid,Low Impact
Nicaragua,NAF,Mid,Low Impact
Niger,NAF,Mid,Low Impact
Nigeria,NAF,Mid,Low Impact
Bangladesh,NAF,Mid,Low Impact
Niue,NAF,Mid,Medium Impact
Norfolk Island,NAF,Mid,Medium Impact
Norway,NAF,Mid,Low Impact
Northern Mariana Islands,NAF,Mid,Medium Impact
Pacific Islands Trust Territory,NAF,Mid,Medium Impact
Pakistan,NAF,Mid,Low Impact
Panama,NAF,Mid,Low Impact
Czech Republic,NAF,Mid,Low Impact
Czechoslovakia,NAF,Mid,Low Impact
Papua New Guinea,NAF,Mid,Low Impact
Paraguay,NAF,Mid,Low Impact
Bermuda,NAF,Mid,Medium Impact
Peru,NAF,Mid,Low Impact
Philippines,NAF,Mid,Low Impact
Poland,NAF,Mid,Low Impact
Portugal,NAF,Mid,Low Impact
Guinea-Bissau,NAF,Mid,Medium Impact
Timor-Leste,NAF,Mid,Medium Impact
Eritrea,NAF,Mid,Low Impact
Qatar,NAF,Mid,Medium Impact
Bhutan,NAF,Mid,Medium Impact
Palau,NAF,Mid,No Impact
Zimbabwe,NAF,Mid,Low Impact
Romania,NAF,Mid,Low Impact
Rwanda,NAF,Mid,Low Impact
Russian Federation,NAF,Mid,Low Impact
USSR,NAF,Mid,Low Impact
Saint Helena,NAF,Mid,Medium Impact
Saint Kitts and Nevis,NAF,Mid,Medium Impact
Saint Lucia,NAF,Mid,Medium Impact
Bolivia (Plurinational State of),NAF,Mid,Low Impact
Saint Pierre and Miquelon,NAF,Mid,Medium Impact
Saint Vincent and the Grenadines,NAF,Mid,No Impact
Sao Tome and Principe,NAF,Mid,Medium Impact
Saudi Arabia,NAF,Mid,Low Impact
Senegal,NAF,Mid,Low Impact
Seychelles,NAF,Mid,Medium Impact
Sierra Leone,NAF,Mid,Medium Impact
Slovenia,NAF,Mid,Low Impact
Slovakia,NAF,Mid,Low Impact
Yugoslav SFR,NAF,Mid,Low Impact
Afghanistan,NAF,Mid,Low Impact
Botswana,NAF,Mid,Medium Impact
Singapore,NAF,Mid,Low Impact
Somalia,NAF,Mid,Medium Impact
South Africa,NAF,Mid,Low Impact
Spain,NAF,Mid,Low Impact
Western Sahara,NAF,Mid,Medium Impact
Suriname,NAF,Mid,Medium Impact
Tajikistan,NAF,Mid,Low Impact
Swaziland,NAF,Mid,Medium Impact
Brazil,NAF,Mid,Low Impact
Sweden,NAF,Mid,Low Impact
Switzerland,NAF,Mid,Low Impact
Syrian Arab Republic,NAF,Mid,Low Impact
Turkmenistan,NAF,Mid,No Impact
United Republic of Tanzania,NAF,Mid,Low Impact
Thailand,NAF,Mid,Low Impact
Togo,NAF,Mid,Low Impact
Tonga,NAF,Mid,Medium Impact
Aruba,NAF,Mid,Medium Impact
Trinidad and Tobago,NAF,Mid,Low Impact
Oman,NAF,Mid,Low Impact
Tunisia,NAF,Mid,Low Impact
Turkey,NAF,Mid,Low Impact
,NAF,Mid,Medium Impact
United Arab Emirates,NAF,Mid,Low Impact
Uganda,NAF,Mid,Low Impact
Tuvalu,NAF,Mid,Medium Impact
United Kingdom,NAF,Mid,Low Impact
Belize,NAF,Mid,Medium Impact
Ukraine,NAF,Mid,Low Impact
United States of America,NAF,Mid,Low Impact
Burkina Faso,NAF,Mid,Low Impact
Uruguay,NAF,Mid,Low Impact
Uzbekistan,NAF,Mid,Low Impact
Venezuela (Bolivarian Republic of),NAF,Mid,Low Impact
Viet Nam,NAF,Mid,Low Impact
Ethiopia,NAF,Mid,Low Impact
Ethiopia PDR,NAF,Mid,Low Impact
British Virgin Islands,NAF,Mid,Medium Impact
Wallis and Futuna Islands,NAF,Mid,Medium Impact
Samoa,NAF,Mid,Medium Impact
Yemen,NAF,Mid,Low Impact
Yemen Ar Rp,NAF,Mid,Low Impact
Yemen Dem,NAF,Mid,Low Impact
Solomon Islands,NAF,Mid,Medium Impact
Democratic Republic of the Congo,NAF,Mid,Low Impact
Zambia,NAF,Mid,Low Impact
,NAF,Mid,Medium Impact
Belgium,NAF,Mid,Low Impact
Belgium-Luxembourg,NAF,Mid,Low Impact
Luxembourg,NAF,Mid,No Impact
Anguilla,NAF,Mid,No Impact
Brunei Darussalam,NAF,Mid,Medium Impact
Bulgaria,NAF,Mid,Low Impact
Mayotte,NAF,Mid,Medium Impact
Serbia,NAF,Mid,Low Impact
Serbia and Montenegro,NAF,Mid,Low Impact
Montenegro,NAF,Mid,Medium Impact
Sudan,NAF,Mid,Low Impact
South Sudan,NAF,Mid,Medium Impact
Myanmar,NAF,Mid,Low Impact
Burundi,NAF,Mid,Medium Impact
,NAF,Mid,Medium Impact
Albania,NAF,Mid,Low Impact
Antarctica,NAF,Mid,Medium Impact
Cameroon,NAF,Mid,Low Impact
Canada,NAF,Mid,Low Impact
Cape Verde,NAF,Mid,Medium Impact
China,NAF,Mid,Low Impact
Cayman Islands,NAF,Mid,Medium Impact
Central African Republic,NAF,Mid,Medium Impact
Sri Lanka,NAF,Mid,Low Impact
Chad,NAF,Mid,Medium Impact
Algeria,NAF,Mid,Low Impact
Chile,NAF,Mid,Low Impact
Christmas Island,NAF,Mid,Medium Impact
Colombia,NAF,Mid,No Impact
Comoros,NAF,Mid,Medium Impact
Congo,NAF,Mid,Low Impact
Cook Islands,NAF,Mid,Medium Impact
Costa Rica,NAF,Mid,Low Impact
Cuba,NAF,Mid,Medium Impact
American Samoa,NAF,Mid,Medium Impact
Cyprus,NAF,Mid,Low Impact
Azerbaijan,NAF,Mid,Low Impact
Benin,NAF,Mid,Medium Impact
Denmark,NAF,Mid,Low Impact
Dominica,NAF,Mid,Medium Impact
Dominican Republic,NAF,Mid,Low Impact
Belarus,NAF,Mid,Low Impact
Ecuador,NAF,Mid,Low Impact
Egypt,NAF,Mid,Low Impact
Andorra,NAF,Mid,Medium Impact
El Salvador,NAF,Mid,Low Impact
Equatorial Guinea,NAF,Mid,Medium Impact
Estonia,NAF,Mid,Low Impact
Faroe Islands,NAF,Mid,Medium Impact
Falkland Islands (Malvinas),NAF,Mid,Medium Impact
Fiji,NAF,Mid,Low Impact
Finland,NAF,Mid,Low Impact
France,NAF,Mid,Low Impact
Angola,NAF,Mid,Low Impact
French Polynesia,NAF,Mid,Medium Impact
Djibouti,NAF,Mid,Medium Impact
Georgia,NAF,Mid,Low Impact
Gabon,NAF,Mid,Medium Impact
Gambia,NAF,Mid,Medium Impact
Germany,NAF,Mid,Low Impact
Germany Fr,NAF,Mid,Low Impact
Germany Nl,NAF,Mid,Low Impact
Antigua and Barbuda,NAF,Mid,Medium Impact
Bosnia and Herzegovina,NAF,Mid,Low Impact
Ghana,NAF,Mid,Low Impact
Gibraltar,NAF,Mid,Medium Impact
Kiribati,NAF,Mid,Medium Impact
Greece,NAF,Mid,Low Impact
Greenland,NAF,Mid,Medium Impact
Grenada,NAF,Mid,Medium Impact
Guam,NAF,Mid,Medium Impact
Guatemala,NAF,Mid,Low Impact
Argentina,NAF,Mid,Low Impact
Guinea,NAF,Mid,Low Impact
Guyana,NAF,Mid,Low Impact
Haiti,NAF,Mid,Medium Impact
Holy See,NAF,Mid,No Impact
Honduras,NAF,Mid,Low Impact
Hungary,NAF,Mid,Low Impact
Croatia,NAF,Mid,Low Impact
Iceland,NAF,Mid,Medium Impact
Armenia,FSU,High,Serious Impact
Australia,FSU,High,Low Impact
India,FSU,High,Low Impact
Indonesia,FSU,High,Low Impact
Iran (Islamic Republic of),FSU,High,No Impact
Iraq,FSU,High,Low Impact
Ireland,FSU,High,Low Impact
Israel,FSU,High,No Impact
Italy,FSU,High,Low Impact
Cote d'Ivoire,FSU,High,Low Impact
Kazakhstan,FSU,High,Serious Impact
Jamaica,FSU,High,Medium Impact
Austria,FSU,High,Low Impact
Japan,FSU,High,Low Impact
Jordan,FSU,High,Low Impact
Kyrgyzstan,FSU,High,Low Impact
Kenya,FSU,High,Low Impact
Cambodia,FSU,High,Medium Impact
Democratic People's Republic of Korea,FSU,High,Medium Impact
Republic of Korea,FSU,High,Low Impact
Kuwait,FSU,High,Medium Impact
Latvia,FSU,High,Low Impact
Bahamas,FSU,High,Medium Impact
Lao People's Democratic Republic,FSU,High,Medium Impact
Lebanon,FSU,High,Low Impact
Lesotho,FSU,High,Medium Impact
Liberia,FSU,High,Medium Impact
Libya,FSU,High,Low Impact
Lithuania,FSU,High,Low Impact
Marshall Islands,FSU,High,Medium Impact
Madagascar,FSU,High,Medium Impact
Bahrain,FSU,High,Low Impact
Malawi,FSU,High,Low Impact
Malaysia,FSU,High,Low Impact
Maldives,FSU,High,Medium Impact
Mali,FSU,High,Low Impact
Malta,FSU,High,Low Impact
Mauritania,FSU,High,Low Impact
Mauritius,FSU,High,Medium Impact
Mexico,FSU,High,Low Impact
Barbados,FSU,High,Medium Impact
Mongolia,FSU,High,Medium Impact
Montserrat,FSU,High,Medium Impact
Morocco,FSU,High,Low Impact
Mozambique,FSU,High,Low Impact
Micronesia (Federated States of),FSU,High,Medium Impact
Republic of Moldova,FSU,High,Serious Impact
Namibia,FSU,High,Low Impact
Nauru,FSU,High,Medium Impact
Nepal,FSU,High,Medium Impact
Netherlands,FSU,High,Low Impact
,FSU,High,Medium Impact
New Caledonia,FSU,High,Medium Impact
The former Yugoslav Republic of Macedonia,FSU,High,Medium Impact
Vanuatu,FSU,High,Medium Impact
New Zealand,FSU,High,Low Impact
Nicaragua,FSU,High,Low Impact
Niger,FSU,High,Low Impact
Nigeria,FSU,High,Low Impact
Bangladesh,FSU,High,Low Impact
Niue,FSU,High,Medium Impact
Norfolk Island,FSU,High,Medium Impact
Norway,FSU,High,Low Impact
Northern Mariana Islands,FSU,High,Medium Impact
Pacific Islands Trust Territory,FSU,High,Medium Impact
Pakistan,FSU,High,Low Impact
Panama,FSU,High,Low Impact
Czech Republic,FSU,High,Low Impact
Czechoslovakia,FSU,High,Low Impact
Papua New Guinea,FSU,High,Low Impact
Paraguay,FSU,High,Low Impact
Bermuda,FSU,High,Medium Impact
Peru,FSU,High,Low Impact
Philippines,FSU,High,Low Impact
Poland,FSU,High,Low Impact
Portugal,FSU,High,Low Impact
Guinea-Bissau,FSU,High,Medium Impact
Timor-Leste,FSU,High,Medium Impact
Eritrea,FSU,High,Medium Impact
Qatar,FSU,High,Medium Impact
Bhutan,FSU,High,Medium Impact
Palau,FSU,High,Serious Impact
Zimbabwe,FSU,High,Low Impact
Romania,FSU,High,Low Impact
Rwanda,FSU,High,Low Impact
Russian Federation,FSU,High,Serious Impact
USSR,FSU,High,Serious Impact
Saint Helena,FSU,High,Medium Impact
Saint Kitts and Nevis,FSU,High,Medium Impact
Saint Lucia,FSU,High,Medium Impact
Bolivia (Plurinational State of),FSU,High,Low Impact
Saint Pierre and Miquelon,FSU,High,Medium Impact
Saint Vincent and the Grenadines,FSU,High,Medium Impact
Sao Tome and Principe,FSU,High,Medium Impact
Saudi Arabia,FSU,High,Low Impact
Senegal,FSU,High,Low Impact
Seychelles,FSU,High,Medium Impact
Sierra Leone,FSU,High,Medium Impact
Slovenia,FSU,High,Medium Impact
Slovakia,FSU,High,Low Impact
Yugoslav SFR,FSU,High,Low Impact
Afghanistan,FSU,High,Low Impact
Botswana,FSU,High,Medium Impact
Singapore,FSU,High,Low Impact
Somalia,FSU,High,Medium Impact
South Africa,FSU,High,Low Impact
Spain,FSU,High,Low Impact
Western Sahara,FSU,High,Medium Impact
Suriname,FSU,High,Medium Impact
Tajikistan,FSU,High,Low Impact
Swaziland,FSU,High,Medium Impact
Brazil,FSU,High,Low Impact
Sweden,FSU,High,Low Impact
Switzerland,FSU,High,Low Impact
Syrian Arab Republic,FSU,High,Low Impact
Turkmenistan,FSU,High,Low Impact
United Republic of Tanzania,FSU,High,Low Impact
Thailand,FSU,High,Low Impact
Togo,FSU,High,Low Impact
Tonga,FSU,High,Medium Impact
Aruba,FSU,High,Medium Impact
Trinidad and Tobago,FSU,High,Low Impact
Oman,FSU,High,Low Impact
Tunisia,FSU,High,Low Impact
Turkey,FSU,High,Low Impact
,FSU,High,Medium Impact
United Arab Emirates,FSU,High,Low Impact
Uganda,FSU,High,Low Impact
Tuvalu,FSU,High,Medium Impact
United Kingdom,FSU,High,Low Impact
Belize,FSU,High,Medium Impact
Ukraine,FSU,High,Serious Impact
United States of America,FSU,High,Low Impact
Burkina Faso,FSU,High,Low Impact
Uruguay,FSU,High,Low Impact
Uzbekistan,FSU,High,Low Impact
Venezuela (Bolivarian Republic of),FSU,High,Low Impact
Viet Nam,FSU,High,Low Impact
Ethiopia,FSU,High,Low Impact
Ethiopia PDR,FSU,High,Low Impact
British Virgin Islands,FSU,High,Medium Impact
Wallis and Futuna Islands,FSU,High,Medium Impact
Samoa,FSU,High,Medium Impact
Yemen,FSU,High,Low Impact
Yemen Ar Rp,FSU,High,Low Impact
Yemen Dem,FSU,High,Low Impact
Solomon Islands,FSU,High,Medium Impact
Democratic Republic of the Congo,FSU,High,Low Impact
Zambia,FSU,High,Low Impact
,FSU,High,Medium Impact
Belgium,FSU,High,Low Impact
Belgium-Luxembourg,FSU,High,Low Impact
Luxembourg,FSU,High,No Impact
Anguilla,FSU,High,Medium Impact
Brunei Darussalam,FSU,High,Medium Impact
Bulgaria,FSU,High,Low Impact
Mayotte,FSU,High,Medium Impact
Serbia,FSU,High,Low Impact
Serbia and Montenegro,FSU,High,Low Impact
Montenegro,FSU,High,Medium Impact
Sudan,FSU,High,Low Impact
South Sudan,FSU,High,Medium Impact
Myanmar,FSU,High,Low Impact
Burundi,FSU,High,Medium Impact
,FSU,High,Medium Impact
Albania,FSU,High,Low Impact
Antarctica,FSU,High,Medium Impact
Cameroon,FSU,High,Low Impact
Canada,FSU,High,Low Impact
Cape Verde,FSU,High,Medium Impact
China,FSU,High,Low Impact
Cayman Islands,FSU,High,Medium Impact
Central African Republic,FSU,High,Medium Impact
Sri Lanka,FSU,High,Medium Impact
Chad,FSU,High,Medium Impact
Algeria,FSU,High,Low Impact
Chile,FSU,High,Low Impact
Christmas Island,FSU,High,Medium Impact
Colombia,FSU,High,Low Impact
Comoros,FSU,High,Medium Impact
Congo,FSU,High,Low Impact
Cook Islands,FSU,High,Medium Impact
Costa Rica,FSU,High,Low Impact
Cuba,FSU,High,Medium Impact
American Samoa,FSU,High,Medium Impact
Cyprus,FSU,High,Low Impact
Azerbaijan,FSU,High,Serious Impact
Benin,FSU,High,Medium Impact
Denmark,FSU,High,Low Impact
Dominica,FSU,High,Medium Impact
Dominican Republic,FSU,High,Low Impact
Belarus,FSU,High,Low Impact
Ecuador,FSU,High,Low Impact
Egypt,FSU,High,Low Impact
Andorra,FSU,High,Medium Impact
El Salvador,FSU,High,Low Impact
Equatorial Guinea,FSU,High,Medium Impact
Estonia,FSU,High,Low Impact
Faroe Islands,FSU,High,Medium Impact
Falkland Islands (Malvinas),FSU,High,Medium Impact
Fiji,FSU,High,Low Impact
Finland,FSU,High,Low Impact
France,FSU,High,Low Impact
Angola,FSU,High,Low Impact
French Polynesia,FSU,High,Medium Impact
Djibouti,FSU,High,Medium Impact
Georgia,FSU,High,Low Impact
Gabon,FSU,High,Medium Impact
Gambia,FSU,High,Medium Impact
Germany,FSU,High,Low Impact
Germany Fr,FSU,High,Low Impact
Germany Nl,FSU,High,Low Impact
Antigua and Barbuda,FSU,High,Medium Impact
Bosnia and Herzegovina,FSU,High,Low Impact
Ghana,FSU,High,Low Impact
Gibraltar,FSU,High,Medium Impact
Kiribati,FSU,High,Medium Impact
Greece,FSU,High,Low Impact
Greenland,FSU,High,Medium Impact
Grenada,FSU,High,Medium Impact
Guam,FSU,High,Medium Impact
Guatemala,FSU,High,Low Impact
Argentina,FSU,High,Low Impact
Guinea,FSU,High,Low Impact
Guyana,FSU,High,Low Impact
Haiti,FSU,High,Medium Impact
Holy See,FSU,High,No Impact
Honduras,FSU,High,Low Impact
Hungary,FSU,High,Low Impact
Croatia,FSU,High,Low Impact
Iceland,FSU,High,Medium Impact
Armenia,FSU,Mid,Low Impact
Australia,FSU,Mid,Low Impact
India,FSU,Mid,Low Impact
Indonesia,FSU,Mid,Low Impact
Iran (Islamic Republic of),FSU,Mid,No Impact
Iraq,FSU,Mid,Low Impact
Ireland,FSU,Mid,Low Impact
Israel,FSU,Mid,No Impact
Italy,FSU,Mid,Low Impact
Cote d'Ivoire,FSU,Mid,Low Impact
Kazakhstan,FSU,Mid,Low Impact
Jamaica,FSU,Mid,Medium Impact
Austria,FSU,Mid,Low Impact
Japan,FSU,Mid,Low Impact
Jordan,FSU,Mid,Low Impact
Kyrgyzstan,FSU,Mid,Low Impact
Kenya,FSU,Mid,Low Impact
Cambodia,FSU,Mid,Medium Impact
Democratic People's Republic of Korea,FSU,Mid,Medium Impact
Republic of Korea,FSU,Mid,Low Impact
Kuwait,FSU,Mid,Medium Impact
Latvia,FSU,Mid,Low Impact
Bahamas,FSU,Mid,Medium Impact
Lao People's Democratic Republic,FSU,Mid,Medium Impact
Lebanon,FSU,Mid,Low Impact
Lesotho,FSU,Mid,Medium Impact
Liberia,FSU,Mid,Medium Impact
Libya,FSU,Mid,Low Impact
Lithuania,FSU,Mid,Low Impact
Marshall Islands,FSU,Mid,Medium Impact
Madagascar,FSU,Mid,Medium Impact
Bahrain,FSU,Mid,Low Impact
Malawi,FSU,Mid,Low Impact
Malaysia,FSU,Mid,Low Impact
Maldives,FSU,Mid,Medium Impact
Mali,FSU,Mid,Low Impact
Malta,FSU,Mid,Low Impact
Mauritania,FSU,Mid,Low Impact
